Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,100.0,82.22,91.11,2.64,95.0,86.67,0.99,0.01,0.99,0.98
RBF2,100.0,97.04,98.52,1.0,100.0,96.67,1.0,0.0,1.0,1.0
RBF3,91.85,90.0,90.93,3.02,93.33,83.33,0.95,0.01,0.98,0.93
RBF4,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
RBF5,91.85,96.67,94.26,1.47,96.67,91.67,0.99,0.0,1.0,0.98
RBF6,86.3,84.81,85.56,3.0,88.33,78.33,0.93,0.01,0.95,0.91
RBF7,100.0,99.63,99.81,0.56,100.0,98.33,1.0,0.0,1.0,1.0
RBF8,91.85,98.89,95.37,2.0,98.33,91.67,0.99,0.0,1.0,0.99
RBF9,86.3,92.22,89.26,2.22,91.67,85.0,0.95,0.01,0.96,0.93
RBF10,85.56,92.96,89.26,2.22,93.33,86.67,0.95,0.01,0.96,0.94
RBF11,82.59,87.41,85.0,3.23,88.33,80.0,0.94,0.01,0.95,0.93
RBF12,100.0,99.63,99.81,0.56,100.0,98.33,1.0,0.0,1.0,1.0
RBF13,91.85,97.41,94.63,1.82,98.33,91.67,0.99,0.0,1.0,0.99
RBF14,86.3,96.67,91.48,1.3,93.33,90.0,0.99,0.01,1.0,0.98
RBF15,85.56,98.52,92.04,2.17,96.67,90.0,0.99,0.01,1.0,0.97
RBF16,82.59,98.52,90.56,2.64,95.0,86.67,0.99,0.01,1.0,0.98
RBF17,74.44,94.44,84.44,2.36,88.33,81.67,0.93,0.01,0.95,0.91
RBF18,100.0,98.89,99.44,0.83,100.0,98.33,1.0,0.0,1.0,1.0
RBF19,91.85,98.89,95.37,1.39,98.33,93.33,1.0,0.0,1.0,0.99
RBF20,86.3,98.52,92.41,0.88,93.33,91.67,0.99,0.01,1.0,0.97
RBF21,85.56,98.15,91.85,2.12,96.67,90.0,0.99,0.01,1.0,0.97
RBF22,82.59,98.15,90.37,2.47,95.0,86.67,0.99,0.0,1.0,0.99
RBF23,74.44,97.41,85.93,3.13,91.67,80.0,0.97,0.02,0.98,0.94
RBF24,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
RBF25,91.85,100.0,95.93,1.47,98.33,93.33,1.0,0.0,1.0,1.0
RBF26,86.3,98.89,92.59,1.21,93.33,90.0,0.99,0.01,1.0,0.98
RBF27,85.56,100.0,92.78,2.2,96.67,90.0,1.0,0.0,1.0,0.99
RBF28,82.59,100.0,91.3,2.32,95.0,86.67,0.99,0.0,1.0,0.99
RBF29,74.44,99.63,87.04,2.98,93.33,83.33,0.99,0.01,1.0,0.97
RBF30,65.93,92.22,79.07,3.13,83.33,73.33,0.88,0.02,0.91,0.86
RBF31,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
RBF32,91.85,100.0,95.93,1.47,98.33,93.33,1.0,0.0,1.0,1.0
RBF33,86.3,100.0,93.15,0.56,93.33,91.67,1.0,0.0,1.0,0.99
