Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,94.81,54.81,74.81,2.27,78.33,71.67,0.87,0.01,0.88,0.85
RBF2,97.04,87.04,92.04,2.61,95.0,88.33,0.99,0.01,0.99,0.96
RBF3,87.78,68.89,78.33,2.76,81.67,75.0,0.87,0.01,0.89,0.85
RBF4,99.26,85.19,92.22,1.44,93.33,90.0,0.99,0.0,0.99,0.98
RBF5,85.93,92.59,89.26,1.69,91.67,86.67,0.94,0.0,0.95,0.94
RBF6,84.07,70.37,77.22,1.67,80.0,75.0,0.88,0.02,0.92,0.86
RBF7,98.89,95.93,97.41,1.69,98.33,93.33,1.0,0.0,1.0,0.99
RBF8,96.3,83.7,90.0,1.86,93.33,86.67,0.94,0.01,0.95,0.92
RBF9,87.04,65.56,76.3,3.51,81.67,71.67,0.88,0.02,0.91,0.85
RBF10,84.81,61.48,73.15,4.03,78.33,66.67,0.87,0.02,0.9,0.84
RBF11,82.96,59.26,71.11,2.04,75.0,68.33,0.86,0.02,0.88,0.83
RBF12,98.52,88.52,93.52,1.55,95.0,90.0,0.99,0.0,1.0,0.99
RBF13,97.41,99.63,98.52,0.56,100.0,98.33,1.0,0.0,1.0,0.99
RBF14,94.07,99.63,96.85,1.76,98.33,93.33,1.0,0.0,1.0,0.99
RBF15,87.04,97.04,92.04,3.8,100.0,86.67,0.99,0.01,1.0,0.95
RBF16,95.56,93.33,94.44,1.67,96.67,91.67,0.99,0.01,1.0,0.98
RBF17,87.41,67.41,77.41,3.34,81.67,71.67,0.91,0.01,0.92,0.89
RBF18,99.26,95.56,97.41,1.21,98.33,95.0,1.0,0.0,1.0,1.0
RBF19,97.04,99.26,98.15,0.56,98.33,96.67,1.0,0.0,1.0,0.99
RBF20,94.44,100.0,97.22,1.18,98.33,95.0,1.0,0.0,1.0,0.99
RBF21,95.56,99.63,97.59,2.22,100.0,95.0,1.0,0.01,1.0,0.98
RBF22,94.07,100.0,97.04,2.32,100.0,93.33,1.0,0.0,1.0,0.99
RBF23,88.89,92.22,90.56,3.0,93.33,85.0,0.97,0.01,0.99,0.95
RBF24,99.26,93.33,96.3,2.32,98.33,91.67,1.0,0.0,1.0,0.99
RBF25,94.07,100.0,97.04,2.0,100.0,93.33,1.0,0.01,1.0,0.98
RBF26,94.44,100.0,97.22,1.18,98.33,95.0,1.0,0.0,1.0,1.0
RBF27,94.81,100.0,97.41,2.78,100.0,91.67,1.0,0.0,1.0,0.99
RBF28,97.41,97.04,97.22,1.18,98.33,95.0,1.0,0.0,1.0,0.99
